id,municipio,n2025_1s,n2026_1s,var_nom_1s,var_real_1s,rank_1s,monto_necesario_1s,brecha_1s,per100_1s,diff_vs_avg_1s,n2025_jun,n2026_jun,var_nom_jun,var_real_jun,rank_jun,monto_necesario_jun,brecha_jun,per100_jun,diff_vs_avg_jun
25,Chacabuco,16371348529,24121271138,0.473383,0.108898,1,21754690242,-2366580896,110.889777,0.133861,2705216982,4077300881,0.507199,0.128988,1,3611464671,-465836210,112.898817,0.170608
26,Chascomús,10638604109,13367392730,0.256499,-0.054323,123,14137253122,769860392,94.567704,-0.029359,1799464851,2251262607,0.251073,-0.062866,107,2402285576,151022969,93.713363,-0.021247
27,Chivilcoy,14370470402,18312358939,0.274305,-0.040939,106,19096043319,783684380,95.906069,-0.015976,2432136685,3094259301,0.272239,-0.047012,73,3246902475,152643174,95.298806,-0.005392
28,Colón,7023497256,9196996053,0.309461,-0.014433,52,9333117360,136121307,98.556741,0.010531,1163909471,1541742355,0.324624,-0.007772,18,1553819143,12076789,99.222767,0.033847
29,Coronel Dorrego,7908239016,10230990549,0.293713,-0.026302,75,10508734452,277743904,97.369776,-0.001339,1301845670,1713120714,0.315917,-0.014294,23,1737963969,24843256,98.570554,0.027325
30,Coronel Pringles,8584963197,10970302201,0.277851,-0.038245,102,11408430284,438128083,96.175484,-0.013281,1453237354,1839051429,0.265486,-0.05207,84,1940071867,101020438,94.792954,-0.010451
31,Coronel Rosales,7571810303,9762984216,0.289386,-0.029649,87,10062120650,299136433,97.035148,-0.004685,1362045727,1689131801,0.240143,-0.071054,121,1818331045,129199244,92.894625,-0.029434
32,Coronel Suárez,13692015529,17655577825,0.28948,-0.029509,86,18194649891,539072066,97.049063,-0.004546,2298022410,2981209656,0.297294,-0.028245,42,3067859917,86650261,97.175547,0.013375
33,Daireaux,8936750169,11532996310,0.290513,-0.028694,80,11875714888,342718578,97.130574,-0.003731,1483919134,1923854376,0.296468,-0.028863,44,1981032044,57177668,97.113743,0.012757
34,Dolores,9123162933,12393556963,0.358472,0.022363,7,12122932525,-270624437,102.236268,0.047326,1530451183,2124602127,0.388219,0.039865,5,2043152330,-81449797,103.986477,0.081484
35,Ensenada,6298064298,8215126880,0.304389,-0.018357,58,8369363243,154236362,98.164275,0.006606,1127381066,1418516737,0.258241,-0.057498,95,1505053723,86536986,94.250239,-0.015878
36,Escobar,35090996558,47372307830,0.349985,0.015957,9,46629488507,-742819324,101.595733,0.040921,6011458773,8177984456,0.360399,0.019026,6,8025297463,-152686993,101.902571,0.060645
37,Esteban Echeverría,33746112629,44299848615,0.312739,-0.012073,43,44843412232,543563617,98.792734,0.012891,5910683649,7645150224,0.293446,-0.031127,49,7890762672,245612447,96.887342,0.010493
38,Exaltación de la Cruz,8256807100,11636880070,0.409368,0.060675,4,10971772138,-665107932,106.067518,0.085639,1381179416,1988936473,0.440028,0.078672,2,1843874521,-145061952,107.867236,0.120292
39,Ezeiza,15340844993,19304516743,0.258374,-0.052974,119,20386584738,1082067996,94.702635,-0.02801,2787803316,3307957482,0.186582,-0.111174,135,3721717427,413759946,88.882553,-0.069555
40,Florencio Varela,45398135443,59062471733,0.300989,-0.02091,64,60328240475,1265768742,97.909043,0.004054,8083919344,10135369122,0.253769,-0.060847,103,10792032325,656663203,93.915296,-0.019227
41,Florentino Ameghino,3950468959,4905190363,0.241673,-0.065454,132,5249742943,344552579,93.454621,-0.04049,658042071,816644507,0.241022,-0.070396,119,878486164,61841657,92.960429,-0.028776
42,General Alvarado,7705478023,10344873326,0.342535,0.010426,14,10239647478,-105225848,101.042638,0.03539,1305195632,1744637672,0.336687,0.001263,10,1742436169,-2201503,100.126346,0.042883
43,General Alvear,4965280952,6354894217,0.279866,-0.036716,100,6598406842,243512625,96.328405,-0.011752,854354572,1065412789,0.247038,-0.065889,114,1140563354,75150565,93.411101,-0.024269
44,General Arenales,4803604190,6187087968,0.28801,-0.030531,88,6383498613,196410644,96.946924,-0.005567,796036612,1016028762,0.276359,-0.043926,66,1062708876,46680114,95.607441,-0.002306
45,General Belgrano,5613311651,7205533431,0.283651,-0.033891,94,7459338103,253804673,96.610917,-0.008927,940623553,1217301836,0.294143,-0.030604,48,1255732444,38430607,96.939586,0.011016
46,General Guido,2089563001,2747201534,0.314725,-0.010403,38,2777115882,29914347,98.959674,0.01456,359563902,448487217,0.247309,-0.065686,112,480017809,31530592,93.43137,-0.024067
47,General La Madrid,7331207987,9484635097,0.293734,-0.026287,74,9742213421,257578324,97.371276,-0.001324,1231535678,1588404739,0.289776,-0.033876,53,1644100131,55695392,96.612409,0.007744
48,General Las Heras,3494699109,4558245514,0.304331,-0.018346,57,4644057481,85811967,98.165378,0.006618,605303686,772536198,0.276279,-0.043986,67,808080421,35544222,95.6014,-0.002366
49,General Lavalle,2656224586,3516757763,0.323969,-0.003556,26,3529927538,13169774,99.644395,0.021408,464175556,595109922,0.282079,-0.039641,61,619674367,24564445,96.035911,0.001979
50,General Madariaga,6569355027,8205202181,0.249012,-0.059967,129,8729953282,524751101,94.003276,-0.035004,1137593076,1383943257,0.216554,-0.088724,133,1518686756,134743499,91.127631,-0.047104
51,General Paz,5806877426,7681024388,0.322746,-0.0045,28,7716334891,35310503,99.549957,0.020463,977266827,1306720784,0.337118,0.001586,9,1304651214,-2069570,100.15863,0.043206
52,General Pinto,6090458143,7854288575,0.289606,-0.029371,85,8093456681,239168106,97.06294,-0.004407,1016319748,1306277776,0.285302,-0.037227,57,1356786863,50509087,96.277301,0.004393
53,General Pueyrredón,51026202046,65167175768,0.277132,-0.038863,103,67807838073,2640662305,96.113693,-0.013899,9006944160,11233247570,0.247176,-0.065786,113,12024270454,791022883,93.421448,-0.024166
54,General Rodríguez,11397089916,15667866545,0.374725,0.034582,5,15145702677,-522163868,103.458178,0.059546,2062518466,2700286954,0.309218,-0.019312,30,2753462152,53175197,98.068788,0.022308
55,General San Martín,48408795395,60201289356,0.243602,-0.064102,130,64325536090,4124246734,93.58978,-0.039138,8270353518,10345918983,0.250965,-0.062948,108,11040921947,695002964,93.705209,-0.021328
56,General Viamonte,8213797137,10300298020,0.254024,-0.056184,125,10914879752,614581732,94.381596,-0.03122,1360019060,1731419311,0.273085,-0.046379,72,1815625444,84206134,95.362142,-0.004759
57,General Villegas,13513657012,18203257866,0.347027,0.013913,12,17958614857,-244643009,101.391347,0.038877,2234408765,2977336697,0.332494,-0.001877,13,2982935702,5599005,99.812299,0.039743
58,Guaminí,6846633249,9060127681,0.323297,-0.004055,27,9098345788,38218107,99.594504,0.020909,1163092641,1535485157,0.320174,-0.011105,22,1552728676,17243519,98.88947,0.030514
59,Hipólito Yrigoyen,3827631249,4813108784,0.257464,-0.053561,121,5086409853,273301069,94.643873,-0.028598,632945284,802480120,0.267851,-0.050299,81,844981955,42501835,94.97009,-0.008679
60,Hurlingham,17968505036,23000927103,0.280069,-0.036658,99,23876976834,876049731,96.334244,-0.011694,3116414464,3951814103,0.268064,-0.050139,80,4160413309,208599206,94.986094,-0.008519
61,Ituzaingó,11967230640,15441043793,0.290277,-0.028977,82,15902658151,461614358,97.102293,-0.004013,2103787061,2665084562,0.266803,-0.051084,83,2808555726,143471164,94.891639,-0.009464
62,José C. Paz,39572169340,51183387124,0.293419,-0.026613,77,52584165942,1400778818,97.338713,-0.001649,6817528517,8824415848,0.294372,-0.030433,47,9101400570,276984722,96.95668,0.011186
